title,body,labels,milestone
Configuración del repositorio en GitHub,Sprint 1 – Fundamentos,Sprint 1,Sprint 1
"Configuración del entorno de desarrollo (.NET, Visual Studio, SQL Server)",Sprint 1 – Fundamentos,Sprint 1,Sprint 1
"Diseño de arquitectura del sistema (presentación, lógica, datos)",Sprint 1 – Fundamentos,Sprint 1,Sprint 1
"Modelo inicial de base de datos (Usuarios, Roles, Permisos)",Sprint 1 – Fundamentos,Sprint 1,Sprint 1
Mockups de la interfaz principal,Sprint 1 – Fundamentos,Sprint 1,Sprint 1
Implementar autenticación (login/logout),Sprint 2 – Gestión de Usuarios y Seguridad,Sprint 2,Sprint 2
"Configurar roles y permisos (Administrador, Empleado, Gerente)",Sprint 2 – Gestión de Usuarios y Seguridad,Sprint 2,Sprint 2
Auditoría básica (registro de accesos),Sprint 2 – Gestión de Usuarios y Seguridad,Sprint 2,Sprint 2
Pruebas unitarias iniciales,Sprint 2 – Gestión de Usuarios y Seguridad,Sprint 2,Sprint 2
"Registro de empleados (datos personales, cargo)",Sprint 3 – Módulo RRHH,Sprint 3,Sprint 3
Gestión de horarios de trabajo,Sprint 3 – Módulo RRHH,Sprint 3,Sprint 3
Control de asistencia básico,Sprint 3 – Módulo RRHH,Sprint 3,Sprint 3
"Registro de productos (bebidas, insumos)",Sprint 4 – Inventario y Almacén,Sprint 4,Sprint 4
Control de entradas/salidas,Sprint 4 – Inventario y Almacén,Sprint 4,Sprint 4
Alertas de stock bajo,Sprint 4 – Inventario y Almacén,Sprint 4,Sprint 4
Crear facturas de venta,Sprint 5 – Facturación y Ventas,Sprint 5,Sprint 5
Registro de métodos de pago,Sprint 5 – Facturación y Ventas,Sprint 5,Sprint 5
Reportes básicos de ventas,Sprint 5 – Facturación y Ventas,Sprint 5,Sprint 5
Registro de clientes frecuentes,Sprint 6 – CRM y Clientes,Sprint 6,Sprint 6
Promociones y descuentos,Sprint 6 – CRM y Clientes,Sprint 6,Sprint 6
Reportes de consumo por cliente,Sprint 6 – CRM y Clientes,Sprint 6,Sprint 6
Optimización de UI/UX,Sprint 7 – Integraciones y Usabilidad,Sprint 7,Sprint 7
Dashboard con métricas en tiempo real,Sprint 7 – Integraciones y Usabilidad,Sprint 7,Sprint 7
Exportación de reportes (PDF/Excel),Sprint 7 – Integraciones y Usabilidad,Sprint 7,Sprint 7
Pruebas de aceptación completas,Sprint 8 – Cierre y Deploy,Sprint 8,Sprint 8
Documentación técnica y manual de usuario,Sprint 8 – Cierre y Deploy,Sprint 8,Sprint 8
Despliegue en servidor (Docker/IIS),Sprint 8 – Cierre y Deploy,Sprint 8,Sprint 8
Capacitación a usuarios,Sprint 8 – Cierre y Deploy,Sprint 8,Sprint 8
